crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arhar/Tur,2021,Kharif     ,Uttarakhand,3268.7816059806373,3066.5134229774085,1338.5709660729963,682831.0913013736,1269.2209641939928,0.9381212306649198
Barley,2021,Rabi       ,Uttarakhand,19629.69548264729,25984.232299812666,1327.5245459009948,3756771.401157244,6610.227971905402,1.3237206009019755
Garlic,2021,Whole Year ,Uttarakhand,5248.242522978098,30179.791081867144,1172.5293645424758,1033564.445341618,1840.6776708463385,5.750456643292033
Gram,2021,Rabi       ,Uttarakhand,749.7852356324047,578.3029827462583,1240.3555492682235,147965.51748973381,287.5262800006286,0.771291504904721
Groundnut,2021,Kharif     ,Uttarakhand,594.9285591817898,938.2203268479395,1388.2810157337562,121356.08599725016,236.89424808877888,1.577030237274677
Horse-gram,2021,Kharif     ,Uttarakhand,12816.369835021573,13002.834902283363,1347.0185608438612,2404507.272057053,4944.065498539884,1.0145489767900004
Maize,2021,Kharif     ,Uttarakhand,19413.110260187907,35378.588337106754,1302.5282387363395,4168570.799300555,7655.828055038124,1.8224070158227346
Maize,2021,Summer     ,Uttarakhand,194.53430803811423,428.3580501723354,1400.6157873947664,39048.19696970369,74.69680268230334,2.201966606776678
Masoor,2021,Rabi       ,Uttarakhand,9459.117172158367,6949.644507677798,1333.8740074835214,1769956.3168409928,3443.8032286450384,0.7347032900843155
Moong(Green Gram),2021,Kharif     ,Uttarakhand,8.744495540209712,7.977620598691845,1431.6867359249757,1688.3009164582177,3.3856907845146185,0.9123019803725035
Moong(Green Gram),2021,Summer     ,Uttarakhand,7.9758068006251435,6.235631110806909,1332.8685696852046,1554.4106466561038,2.9672318897925187,0.7818182243730077
Moth,2021,Kharif     ,Uttarakhand,41.96496458792458,24.5317150429434,1225.165044378954,7668.6143923082855,15.030799589403163,0.5845760930298128
Onion,2021,Whole Year ,Uttarakhand,3548.6677468112543,49007.85369190853,1366.8343993906844,702710.1891647528,1410.3847993490688,13.810211941071627
Other  Rabi pulses,2021,Rabi       ,Uttarakhand,32.6106535793878,25.12294316551981,1463.9608439789317,6536.261010580638,12.866516879417365,0.7703906670977995
Other Cereals,2021,Kharif     ,Uttarakhand,642.8454542060596,349.6178363561539,1372.8209120503086,122202.62086942846,238.24446582202523,0.5438598563132817
Other Cereals,2021,Rabi       ,Uttarakhand,405.3454328538825,334.4418312495379,1346.9662257639554,80781.68766728959,144.44188845496686,0.8250785728480042
Other Kharif pulses,2021,Kharif     ,Uttarakhand,14483.570671828233,14504.960018459047,1193.4993878861403,2571267.20508477,6227.614891654966,1.0014768006533374
Peas & beans (Pulses),2021,Rabi       ,Uttarakhand,4854.596679987929,3305.1514971833926,1228.3157909148247,1030209.3264030996,1802.9253504171581,0.6808292665811346
Potato,2021,Kharif     ,Uttarakhand,5989.590820246767,53316.71095983135,1249.2151980541207,1213253.2796994727,2191.2042400522823,8.90156148556985
Potato,2021,Rabi       ,Uttarakhand,5532.2122015495015,60268.176028096306,1330.8439101020517,1033729.1311377378,2123.559842728624,10.894046329462194
Ragi,2021,Kharif     ,Uttarakhand,87674.60195158243,135212.3603851903,1307.8804187818746,17045358.730128195,33903.04364217155,1.5422067209368133
Rapeseed &Mustard,2021,Rabi       ,Uttarakhand,12837.80661623044,8588.385561235233,1432.8319417360174,2574238.5068639936,4989.909740107324,0.6689916601779313
Rice,2021,Kharif     ,Uttarakhand,246333.00842389822,530695.7915236551,1269.8563123641088,47574531.05873215,88246.69908264527,2.1543835920292733
Rice,2021,Summer     ,Uttarakhand,15200.171257219421,55775.50772644402,1360.3346455669734,3089564.923755179,6325.378535928384,3.6693999549480782
Sesamum,2021,Kharif     ,Uttarakhand,1810.640901177919,464.01088630005114,1277.7985710227172,424093.0433115634,788.5677702921719,0.25626886369251195
Small millets,2021,Kharif     ,Uttarakhand,45842.28526517067,70289.9458161471,1277.5321613174217,8054102.743905882,16602.109697211097,1.533299341635372
Soyabean,2021,Kharif     ,Uttarakhand,7569.919567883028,8503.051463108775,1415.2227221209118,1414490.0268987985,2890.155777154076,1.123268402901499
Sugarcane,2021,Whole Year ,Uttarakhand,91591.64557770069,6981275.702740123,1204.0848498371777,19265030.033131793,35825.102973289824,76.22175209001611
Sunflower,2021,Kharif     ,Uttarakhand,3.0540372662722897,2.311802284840555,1294.3732171283898,608.1804863246969,1.1326087728400864,0.7569659710348934
Sunflower,2021,Summer     ,Uttarakhand,2.8408814309277854,1.6904883887452964,1338.9666131224958,588.4441391413299,1.126697353290152,0.5950577065066776
Tobacco,2021,Whole Year ,Uttarakhand,2.8543117821392845,5.87567502408441,1413.9176398674929,606.5829493439476,1.087196697950331,2.0585260029584567
Turmeric,2021,Whole Year ,Uttarakhand,1333.0764149573138,4080.316175626639,1157.4181987230863,254044.78999983883,485.1996136292666,3.0608269187309074
Urad,2021,Kharif     ,Uttarakhand,12428.003399877487,14386.034345839464,1372.4640417300934,2113077.448715669,4900.45190208343,1.1575499203662334
Urad,2021,Summer     ,Uttarakhand,60.63109549116555,67.20740333132822,1346.800625844643,11158.972273854275,20.71743420899525,1.1084642754165788
Wheat,2021,Rabi       ,Uttarakhand,298912.23283188196,663810.5116825763,1351.6708770119697,59577895.031151645,113260.30289418639,2.22075391627055
other oilseeds,2021,Kharif     ,Uttarakhand,13.356874653340679,9.365954715100338,1368.3259799845346,2560.1122319846013,4.557895234588695,0.7012085505165556
other oilseeds,2021,Rabi       ,Uttarakhand,31.345480551084936,22.428830333251454,1289.8162558879292,6180.662210291851,11.48401679046519,0.7155363369433219
