location_id,state,zone
1,Andhra Pradesh,South
2,Arunachal Pradesh,North-East
3,Assam,North-East
4,Bihar,East
5,Chhattisgarh,Central
6,Delhi,North
7,Goa,West
8,Gujarat,West
9,Haryana,North
10,Himachal Pradesh,North
11,Jammu And Kashmir,North
12,Jharkhand,East
13,Karnataka,South
14,Kerala,South
15,Madhya Pradesh,Central
16,Maharashtra,West
17,Manipur,North-East
18,Meghalaya,North-East
19,Mizoram,North-East
20,Nagaland,North-East
21,Odisha,East
22,Puducherry,South
23,Punjab,North
24,Sikkim,North-East
25,Tamil Nadu,South
26,Telangana,South
27,Tripura,North-East
28,Uttar Pradesh,North
29,Uttarakhand,North
30,West Bengal,East
