ID,Order Date,Product Name,Sales,Quantity,Year
1001,12/30/2020,Furnishings - Saepe,652.17,6,2020
1002,12/29/2020,Chairs - Recusandae,284.5,3,2020
1003,12/29/2020,Chairs - Nam,22.35,7,2020
1004,12/29/2020,Envelopes - Necessitatibus,243.82,9,2020
1005,12/28/2020,Art - Sunt,145.04,4,2020
1006,12/28/2020,Machines - Vero,11.08,10,2020
1007,12/28/2020,Art - Aspernatur,967.91,6,2020
1008,12/28/2020,Chairs - Placeat,921.95,5,2020
1009,12/27/2020,Chairs - Maxime,654.1,2,2020
1010,12/26/2020,Chairs - Hic,798.65,8,2020
1011,12/25/2020,Phones - Dolorum,956.02,7,2020
1012,12/24/2020,Chairs - Doloremque,427.21,3,2020
1013,12/24/2020,Copiers - Aliquam,275.8,10,2020
1014,12/24/2020,Tables - Suscipit,593.21,1,2020
1015,12/24/2020,Phones - Provident,860.95,4,2020
1016,12/24/2020,Copiers - Officiis,410.88,1,2020
1017,12/24/2020,Machines - Asperiores,308.97,8,2020
1018,12/24/2020,Phones - Consequatur,732.11,10,2020
1019,12/24/2020,Machines - Fugiat,151.96,2,2020
1020,12/24/2020,Bookcases - Animi,245.27,5,2020
1021,12/22/2020,Envelopes - Aspernatur,285,7,2020
1022,12/21/2020,Accessories - Est,372.8,6,2020
1023,12/21/2020,Chairs - Dolorem,814.2,2,2020
1024,12/21/2020,Tables - Sequi,143.27,2,2020
1025,12/21/2020,Envelopes - Porro,99.16,10,2020
1026,12/21/2020,Art - Facere,236.88,6,2020
1027,12/21/2020,Binders - Aliquid,553.74,1,2020
1028,12/20/2020,Tables - Tenetur,304.38,6,2020
1029,12/20/2020,Phones - Corrupti,383.02,6,2020
1030,12/20/2020,Binders - Labore,637.53,7,2020
1031,12/20/2020,Bookcases - Corporis,920.83,7,2020
1032,12/20/2020,Copiers - Eligendi,395.34,10,2020
1033,12/18/2020,Machines - Iste,960.74,9,2020
1034,12/18/2020,Tables - Laboriosam,552.87,4,2020
1035,12/17/2020,Paper - Molestiae,600.18,8,2020
1036,12/17/2020,Binders - Modi,429.37,6,2020
1037,12/17/2020,Envelopes - Odit,815.49,3,2020
1038,12/16/2020,Envelopes - Dolor,831.22,4,2020
1039,12/16/2020,Copiers - Facilis,157.91,8,2020
1040,12/14/2020,Furnishings - Ullam,181.15,3,2020
1041,12/14/2020,Phones - Tenetur,948.73,3,2020
1042,12/14/2020,Furnishings - Sed,141.87,6,2020
1043,12/14/2020,Bookcases - Nisi,841.35,3,2020
1044,12/14/2020,Machines - Deserunt,653.12,4,2020
1045,12/14/2020,Furnishings - Perspiciatis,14.43,7,2020
1046,12/13/2020,Phones - Ipsum,76.71,2,2020
1047,12/13/2020,Envelopes - Iste,63.68,3,2020
1048,12/13/2020,Tables - Unde,88.24,5,2020
1049,12/13/2020,Binders - Dolorum,29.24,3,2020
1050,12/12/2020,Chairs - Adipisci,14.98,10,2020
1051,12/12/2020,Bookcases - Sunt,518.11,1,2020
1052,12/12/2020,Tables - Qui,218.23,7,2020
1053,12/11/2020,Phones - Possimus,161.46,2,2020
1054,12/11/2020,Bookcases - Nisi,798.16,8,2020
1055,12/10/2020,Binders - Quis,672.95,7,2020
1056,12/9/2020,Envelopes - Et,836.48,8,2020
1057,12/8/2020,Binders - Iusto,633.43,3,2020
1058,12/8/2020,Bookcases - Similique,517.61,5,2020
1059,12/8/2020,Binders - Explicabo,624.18,7,2020
1060,12/7/2020,Art - Maiores,998.83,4,2020
1061,12/7/2020,Chairs - Tempora,382.61,10,2020
1062,12/7/2020,Binders - Cum,152.04,10,2020
1063,12/7/2020,Machines - Odio,437.76,3,2020
1064,12/7/2020,Bookcases - Soluta,386,10,2020
1065,12/6/2020,Accessories - Iste,807.39,3,2020
1066,12/6/2020,Copiers - Amet,504.39,8,2020
1067,12/6/2020,Art - Illo,837.49,3,2020
1068,12/6/2020,Tables - Delectus,298.81,1,2020
1069,12/6/2020,Tables - Perferendis,999.65,2,2020
